model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes
LiquidAI/LFM2.5-350M,Lan,anaphor_gender_agreement,0,1100,674,0.7433234421364985,0.56973293768546,0.327893175074184,221,2.9599862206575556,-2.2719450860001924,0
LiquidAI/LFM2.5-350M,Lan,anaphor_gender_agreement_bos,1,1100,674,0.9747774480712166,0.9881305637982196,0.9629080118694362,649,2.8900620863874815,-3.381798419820142,1
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_irregular,0,932,932,0.805793991416309,0.6362660944206009,0.44420600858369097,414,2.929954653776786,-2.441198152044545,0
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_irregular_bos,1,932,932,0.9216738197424893,0.9324034334763949,0.8562231759656652,798,3.7881080079496954,-3.9951354038894626,1
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_regular,0,1100,1100,0.7145454545454546,0.72,0.43636363636363634,480,2.2123794853687286,-2.1270969053109487,0
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_regular_bos,1,1100,1100,0.9318181818181818,0.9190909090909091,0.850909090909091,936,4.503836086927316,-4.425995578877946,1
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_with_adjective,0,1100,1100,0.7245454545454545,0.5436363636363636,0.28,308,1.4761710538492574,-1.4030114768387436,0
LiquidAI/LFM2.5-350M,Lan,det_noun_agreement_with_adjective_bos,1,1100,1100,0.8854545454545455,0.7636363636363637,0.6527272727272727,718,3.619432381849767,-3.6054168654019456,1
LiquidAI/LFM2.5-350M,Lan,subject_verb_agreement,0,1100,1025,0.7317073170731707,0.6048780487804878,0.39707317073170734,407,3.560937409758275,-3.110517843935355,0
LiquidAI/LFM2.5-350M,Lan,subject_verb_agreement_bos,1,1100,1025,0.935609756097561,0.9063414634146342,0.8439024390243902,865,5.813060319561489,-5.497150558956785,1
LiquidAI/LFM2.5-350M,Lan,npi,0,304,304,0.5625,0.5822368421052632,0.15789473684210525,48,2.029862860838572,-2.0210126439730325,0
LiquidAI/LFM2.5-350M,Lan,npi_bos,1,304,304,0.9210526315789473,0.8881578947368421,0.8092105263157895,246,4.0778359781981,-4.093003610951629,0
LiquidAI/LFM2.5-350M,Lan,hypernymy,0,577,389,0.5501285347043702,0.6169665809768637,0.2159383033419023,84,2.7143684398560297,-2.5010622455960227,0
LiquidAI/LFM2.5-350M,Lan,hypernymy_bos,1,577,389,0.9562982005141388,0.9485861182519281,0.9048843187660668,352,10.19433275542476,-10.692464234222742,1
LiquidAI/LFM2.5-350M,Lan,wug,0,2664,2406,0.5029093931837074,0.5029093931837074,0.10806317539484622,260,1.7113667203829839,-1.7113667203829839,0
LiquidAI/LFM2.5-350M,Lan,wug_bos,1,2664,2406,0.5901911886949294,0.5901911886949294,0.29260182876142976,704,3.8670762681087414,-3.8670762681087414,0
LiquidAI/LFM2.5-350M,MD,logic_syllogism_1,0,1000,1000,0.487,0.513,0.0,0,0.0,0.0,0
LiquidAI/LFM2.5-350M,MD,logic_syllogism_symbolic,0,1000,1000,0.523,0.514,0.046,46,0.9708649226180885,-0.9316590808979843,0
LiquidAI/LFM2.5-350M,MD,logic_propositional_1,0,1000,1000,0.671,0.738,0.413,413,1.6131535538046036,-1.5183715595893075,0
LiquidAI/LFM2.5-350M,MD,logic_propositional_symbolic,0,1000,1000,0.477,0.505,0.045,45,0.4966559858785735,-0.5053143799304962,0
LiquidAI/LFM2.5-350M,MD,number_sequence,0,946,946,0.3224101479915433,0.31606765327695563,0.007399577167019027,7,0.742565359388079,-0.29626941680908203,0
LiquidAI/LFM2.5-350M,MD,add_sub_2op_verbal,0,1000,801,0.5605493133583022,0.5393258426966292,0.14232209737827714,114,1.8286197896589313,-1.6924920249403568,0
LiquidAI/LFM2.5-350M,MD,add_sub_2op_symbolic,0,1000,1000,0.52,0.503,0.13,130,2.2007301513965314,-2.1129823391254132,0
LiquidAI/LFM2.5-350M,MD,add_sub_3op_verbal,0,1000,806,0.4913151364764268,0.5074441687344913,0.07196029776674938,58,1.411760823480014,-1.2754728711884598,0
LiquidAI/LFM2.5-350M,MD,add_sub_3op_symbolic,0,1000,1000,0.499,0.501,0.091,91,1.4281573976789201,-1.7562918977423028,0
LiquidAI/LFM2.5-350M,MD,mul_div_2op_verbal,0,1000,671,0.5141579731743666,0.5365126676602087,0.15499254843517138,104,2.895658749800462,-2.304003257017869,0
LiquidAI/LFM2.5-350M,MD,mul_div_2op_symbolic,0,1000,979,0.6261491317671093,0.6435137895812053,0.3718079673135853,364,4.098455650465829,-4.2973376866225355,0
LiquidAI/LFM2.5-350M,MD,mul_div_3op_verbal,0,1000,837,0.46714456391875747,0.5173237753882916,0.06571087216248507,55,1.6752648440274325,-2.3265409989790484,0
LiquidAI/LFM2.5-350M,MD,mul_div_3op_symbolic,0,1000,1000,0.583,0.553,0.184,184,2.9115498065948486,-2.7629500783008076,0
LiquidAI/LFM2.5-350M,MD,simple_equation,0,995,995,0.5256281407035176,0.48040201005025124,0.01306532663316583,13,0.11817161853496845,-0.1937577907855694,0
LiquidAI/LFM2.5-350M,MD,number_sorting,0,1000,1000,0.534,0.486,0.05,50,2.4191450881958008,-2.445075454711914,0
LiquidAI/LFM2.5-350M,MD,code_conditional,0,1000,1000,0.506,0.501,0.007,7,2.1643422041088343,-2.548079389679645,0
LiquidAI/LFM2.5-350M,MD,code_loop,0,1000,1000,0.582,0.529,0.111,111,0.9137372455081424,-1.313691470000121,0
