model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes
openai-community/gpt2,Lan,anaphor_gender_agreement,0,1100,989,0.9292214357937311,0.8928210313447927,0.8220424671385238,813,1.681118296814434,-1.818034185767907,1
openai-community/gpt2,Lan,det_noun_agreement_irregular,0,932,932,0.9345493562231759,0.9259656652360515,0.8605150214592274,802,2.9320154328298687,-2.885375457511578,1
openai-community/gpt2,Lan,det_noun_agreement_regular,0,1100,1100,0.9345454545454546,0.9490909090909091,0.8845454545454545,973,3.2226731867853933,-3.0746758645754557,1
openai-community/gpt2,Lan,det_noun_agreement_with_adjective,0,1100,1100,0.9245454545454546,0.7918181818181819,0.72,792,3.1596226713272055,-3.1979334253554392,1
openai-community/gpt2,Lan,subject_verb_agreement,0,1100,1065,0.9746478873239437,0.9145539906103286,0.8901408450704226,948,4.044032407460836,-3.7232502780634644,1
openai-community/gpt2,Lan,npi,0,304,304,0.9473684210526315,0.9407894736842105,0.8881578947368421,270,2.801956202365734,-2.7093582932595854,0
openai-community/gpt2,Lan,hypernymy,0,577,462,0.8787878787878788,0.8787878787878788,0.7597402597402597,351,5.173659856842454,-5.382255840844918,1
openai-community/gpt2,Lan,wug,0,2664,2348,0.661839863713799,0.661839863713799,0.389267461669506,914,2.809721563924899,-2.8097215693569346,0
openai-community/gpt2,MD,logic_syllogism_1,0,1000,1000,0.587,0.566,0.204,204,0.09699264227175246,-0.08322966332529105,0
openai-community/gpt2,MD,logic_syllogism_symbolic,0,1000,1000,0.542,0.476,0.019,19,0.04788233104505037,-0.06732433720638878,0
openai-community/gpt2,MD,logic_propositional_1,0,1000,1000,0.477,0.523,0.0,0,0.0,0.0,0
openai-community/gpt2,MD,logic_propositional_symbolic,0,1000,1000,0.488,0.512,0.0,0,0.0,0.0,0
openai-community/gpt2,MD,number_sequence,0,946,890,0.28651685393258425,0.25280898876404495,0.01348314606741573,12,0.24254298210144043,-0.33007605870564777,0
openai-community/gpt2,MD,add_sub_2op_verbal,0,1000,986,0.5060851926977687,0.5212981744421906,0.0821501014198783,81,0.4543085451479311,-0.4414439731174045,0
openai-community/gpt2,MD,add_sub_2op_symbolic,0,1000,857,0.4959159859976663,0.4982497082847141,0.042007001166861145,36,0.2859712176852756,-0.29484664069281685,0
openai-community/gpt2,MD,add_sub_3op_verbal,0,1000,977,0.49437052200614123,0.5220061412487206,0.062436028659160696,61,0.4607172794029361,-0.42491697092525293,0
openai-community/gpt2,MD,add_sub_3op_symbolic,0,1000,903,0.47619047619047616,0.5138427464008859,0.028792912513842746,26,0.3136848302987906,-0.1729865440955529,0
openai-community/gpt2,MD,mul_div_2op_verbal,0,1000,840,0.4976190476190476,0.4726190476190476,0.0630952380952381,53,0.6455677320372384,-0.5652643959477263,0
openai-community/gpt2,MD,mul_div_2op_symbolic,0,1000,956,0.5292887029288703,0.47594142259414224,0.07322175732217573,70,0.36789960861206056,-0.3017348153250558,0
openai-community/gpt2,MD,mul_div_3op_verbal,0,1000,992,0.48286290322580644,0.5161290322580645,0.04032258064516129,40,0.7869968414306641,-0.5786112308502197,0
openai-community/gpt2,MD,mul_div_3op_symbolic,0,1000,993,0.5236656596173213,0.4813695871097684,0.0473313192346425,47,0.3046876217456574,-0.258596399997143,0
